Word,frequency
want,0.18
know,0.173333333
love,0.146666667
just,0.143333333
one,0.116666667
make,0.106666667
how,0.083333333
see,0.083333333
time,0.073333333
day,0.07
get,0.066666667
every,0.063333333
way,0.063333333
feel,0.063333333
wish,0.063333333
really,0.06
think,0.06
night,0.06
eyes,0.056666667
look,0.056666667
heart,0.053333333
makes,0.053333333
perfect,0.05
mine,0.05
hope,0.046666667
