Word,frequency
love,0.21
want,0.16
know,0.133333333
beautiful,0.113333333
just,0.113333333
girl,0.093333333
how,0.09
see,0.086666667
get,0.083333333
make,0.08
one,0.08
ever,0.073333333
heart,0.073333333
time,0.066666667
please,0.063333333
day,0.06
say,0.06
think,0.056666667
never,0.056666667
smile,0.056666667
take,0.053333333
go,0.05
because,0.05
way,0.05
i'd,0.046666667
